Author,Date,Tweet
nikkil1101,Wed May 03 06:04:55 +0000 2017,"RT @ETDefence: Soldiers' #beheading 'dastardly and inhuman act': #India to #Pakistan 
https://t.co/5ZcTbF4vEE"
newssenger,Wed May 03 05:52:26 +0000 2017,"#India #Pakistan #Relations #China #Must #Introspect #Mediation #Over #Kashmir
https://t.co/qWiraICN7E"
KiranPriety,Wed May 03 09:42:00 +0000 2017,RT @TheVikasKhanna: HOME- Magical Shri Harimandir Sahib ji.  #Blessings #India #IncredibleIndia #SYNCHRONICITYFILMS @AndreiSeverny… 
atmatsidou,Wed May 03 09:40:33 +0000 2017,RT @PantoskyA: #Наше_путешествие_Индии_супчик_рынок #Indien #India #Radjastan #Subcontinent #Markt #Market #travel  https://t.co/C9a6F1JYDU…
Rahul_ibn,Wed May 03 09:40:13 +0000 2017,IPS officer reinstatement: ‘Decision after examining Supreme Court order’ https://t.co/h3ekioqq3T #News (via @IBNMoney_com #India)
JohnReedz,Wed May 03 09:40:10 +0000 2017,Srinagar: One killed in grenade attack outside police station https://t.co/fZFdEqdGx3 #News (via @IBNMoney_com #India)
JayshreeMakadia,Wed May 03 09:40:37 +0000 2017,#Gifts that could Represent #Traditional #India https://t.co/EYDb38U4oC via @wordpressdotcom
berleighluxury,Wed May 03 09:39:37 +0000 2017,"RT @LuxuryNxt: Heel &amp; Buckle launches it’s prêt label, Berleigh’s first store in India https://t.co/7h0Rn4HTPG
#india #mumbai #fashion"
SMARTAGROspain,Wed May 03 05:51:45 +0000 2017,"RT @Wahiduzzaman21: Ya Habibi! @digvijaya_28 says, Telangana police of #India operating #ISIS website to egg Muslim youth to join ISIS!
htt…"
borah_trideep,Wed May 03 09:40:20 +0000 2017,RT @Parismita_Borah: #cybercrime in #India is up by 300% in d past 3 yrs. Here we r attemptin 2 protct ppl agnst diffrnt attack vectors in…
tradenetindia,Wed May 03 09:40:55 +0000 2017,"Students in #India: Summer School in Netherlands? 1st steps to successful business is to connect with young pple, a… https://t.co/lJEsAE6DPs"
himanshujain190,Wed May 03 05:51:38 +0000 2017,#indian #india #agarwal #jain #sharma #singh #follow #followback #delhi #pune #mumbai #kolkata #chennai #banglore #guwahati #assam #noida
kurup62,Wed May 03 06:05:15 +0000 2017,"#WorldPressFreedomDay
Responsible electronic news media should question on flawed policies rather than toeing the line of the govt.
#india"
naveenaguru66,Wed May 03 05:52:16 +0000 2017,RT @kollywoodtimes: (ESTIMATES) #Baahubali2 5 Days WW BO:  #India   Nett - ₹ 440 Crs  Gross - ₹ 565 Crs  Overseas - ₹ 145 Crs  Total -… 
SAURAJK,Wed May 03 05:52:53 +0000 2017,Italia-India. A good moment with Honorary Mr. Vijay Kalantri #ita  #CII #ABI  #FICCI #AIAI #SingleDesk… https://t.co/8EBUK4jzeS
iiirdi,Wed May 03 09:41:12 +0000 2017,@timesofindia @MEAIndia It's time to react more brutally stop business with #Pakistan they're zero without buying Good's from #India
Thesunnysahu,Wed May 03 09:40:10 +0000 2017,21 billion dollars in black money went out of #India in 2014 - https://t.co/PEpHHkyKQ4 https://t.co/9BzMoM2kVI
KautilyaAcademy,Wed May 03 05:52:11 +0000 2017,"Interesting Facts.
#KautilyaAcademy #India #Education #Trivia https://t.co/mNkZ9CVfaD"
zeet_s,Wed May 03 09:42:00 +0000 2017,RT @SputnikInt: #AIIB approves first loan to #India to develop energy sector of Andhra Pradesh https://t.co/LfWXaq9he7 https://t.co/SDByyDT…
borah_trideep,Wed May 03 09:40:14 +0000 2017,"RT @Parismita_Borah: HTML,CSS INTERN: U can #work 4m #anywhere &amp; at #flexible timings.No per day #commitment #DigitalIndia #Assam #India ht…"
classifiedwale1,Wed May 03 05:52:05 +0000 2017,"#ITIL #Certification #Training in #Kormangala, #Bangalore #SEO #onlien #digital #education #India #study... https://t.co/NNcd3vkBl4"
tiffanydane06,Wed May 03 05:52:44 +0000 2017,RT @ablf: Founders of @check4spam battling #fakenews in #India. https://t.co/ZHjHoDsLBe #socialmedia #antispam @WhatsApp #news
Indian_Biz,Wed May 03 05:52:56 +0000 2017,Goldman Sachs may back Manipal’s student living services business https://t.co/FkQDl86EB9 #india #indiabiz
